trial,raw,value,true_abs,rel_err
0,2.681,2.681,1.1241834983941753e-07,23848418.798277047
1,2.681,2.681,1.1241834983941753e-07,23848418.798277047
2,2.687,2.687,1.1241834983941753e-07,23901790.86794868
3,2.681,2.681,1.1241834983941753e-07,23848418.798277047
4,2.681,2.681,1.1241834983941753e-07,23848418.798277047
5,2.681,2.681,1.1241834983941753e-07,23848418.798277047
6,2.681,2.681,1.1241834983941753e-07,23848418.798277047
7,2.681,2.681,1.1241834983941753e-07,23848418.798277047
8,2.681,2.681,1.1241834983941753e-07,23848418.798277047
9,2.687,2.687,1.1241834983941753e-07,23901790.86794868
10,2.681,2.681,1.1241834983941753e-07,23848418.798277047
11,2.681,2.681,1.1241834983941753e-07,23848418.798277047
12,2.687,2.687,1.1241834983941753e-07,23901790.86794868
13,2.681,2.681,1.1241834983941753e-07,23848418.798277047
14,2.681,2.681,1.1241834983941753e-07,23848418.798277047
15,2.681,2.681,1.1241834983941753e-07,23848418.798277047
16,2.687,2.687,1.1241834983941753e-07,23901790.86794868
17,2.681,2.681,1.1241834983941753e-07,23848418.798277047
18,2.687,2.687,1.1241834983941753e-07,23901790.86794868
19,2.681,2.681,1.1241834983941753e-07,23848418.798277047
